Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,4,460.65,16.32,0.06,0.00,TT,STT Paid,icicidirect,31-Jul-2023,NSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Sell,1,508.00,1.32,0.01,0.00,TT,STT Paid,icicidirect,07-Nov-2023,BSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Sell,1,515.00,1.34,0.01,0.00,TT,STT Paid,icicidirect,08-Nov-2023,BSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Sell,1,578.95,1.51,0.02,0.00,TT,STT Paid,icicidirect,15-Dec-2023,BSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Sell,1,739.35,1.92,0.02,0.00,TT,STT Paid,icicidirect,15-Apr-2024,BSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,10,429.00,11.16,0.14,0.76,TT,STT Paid,icicidirect,14-Nov-2024,NSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,5,396.40,5.16,0.06,0.30,TT,STT Paid,icicidirect,12-Mar-2025,NSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,5,356.00,4.63,0.06,0.00,TT,STT Paid,icicidirect,08-Apr-2025,NSE,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,Buy,1,358.05,0.93,0.01,0.00,TT,STT Paid,icicidirect,13-Jan-2026,NSE,
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,Buy,55,270.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,20-Dec-2022,NSE,
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,Sell,12,234.80,18.30,0.07,0.00,TT,STT Paid,icicidirect,23-Dec-2022,NSE,
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,Sell,42,234.95,64.08,0.23,0.00,TT,STT Paid,icicidirect,23-Dec-2022,NSE,
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,Sell,1,273.00,2.42,0.01,0.00,TT,STT Paid,icicidirect,23-Dec-2022,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,2,2830.00,29.53,0.19,0.00,Rolling,STT Paid,icicidirect,11-Aug-2022,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Sell,2,2834.95,29.53,0.19,0.00,Rolling,STT Paid,icicidirect,11-Aug-2022,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,2,1435.00,25.42,0.10,0.00,TT,STT Paid,icicidirect,03-Feb-2023,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,2,1635.70,28.97,0.11,0.58,TT,STT Paid,icicidirect,03-Feb-2023,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Sell,2,1958.45,34.69,0.13,0.00,TT,STT Paid,icicidirect,08-Feb-2023,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Sell,1,3208.00,8.34,0.09,0.00,TT,STT Paid,icicidirect,04-Apr-2024,BSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,1,2261.85,5.88,0.07,0.34,TT,STT Paid,icicidirect,12-Mar-2025,NSE,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,Buy,2,652.00,11.55,0.04,0.63,TT,STT Paid,icicidirect,07-Aug-2023,NSE,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,Buy,6,678.95,36.08,0.13,1.00,TT,STT Paid,icicidirect,22-Aug-2023,NSE,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,Buy,1,625.00,5.54,0.02,0.00,TT,STT Paid,icicidirect,01-Sep-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,4,461.50,16.35,0.06,0.42,TT,STT Paid,icicidirect,03-Feb-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,2,482.90,8.55,0.03,0.00,TT,STT Paid,icicidirect,03-Feb-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,694.00,6.15,0.02,0.00,TT,STT Paid,icicidirect,09-May-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,711.00,6.30,0.02,0.00,TT,STT Paid,icicidirect,11-May-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,711.00,6.30,0.02,0.00,TT,STT Paid,icicidirect,11-May-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,740.00,6.55,0.02,0.00,TT,STT Paid,icicidirect,22-May-2023,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,1015.05,2.64,0.03,0.00,TT,STT Paid,icicidirect,08-Dec-2023,BSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Sell,1,1335.00,3.47,0.04,0.00,TT,STT Paid,icicidirect,15-Apr-2024,BSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,18,157.00,25.02,0.07,0.00,TT,STT Paid,icicidirect,20-Feb-2023,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,10,31.40,2.78,0.01,0.00,TT,STT Paid,icicidirect,20-Feb-2023,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,5,335.00,14.83,0.05,0.00,TT,STT Paid,icicidirect,22-Aug-2023,BSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,5,335.00,14.83,0.05,0.00,TT,STT Paid,icicidirect,22-Aug-2023,BSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,3,547.50,4.27,0.05,0.00,TT,STT Paid,icicidirect,19-Dec-2023,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,3,614.15,4.79,0.05,0.00,TT,STT Paid,icicidirect,12-Apr-2024,BSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,1,600.00,1.56,0.02,0.00,TT,STT Paid,icicidirect,12-Apr-2024,BSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Sell,1,738.05,1.92,0.02,0.00,TT,STT Paid,icicidirect,25-Jun-2024,BSE,
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,Buy,2,905.00,16.03,0.06,0.42,TT,STT Paid,icicidirect,21-Aug-2023,NSE,
