Stock Symbol,Company Name,Qty,Average Cost Price,Value At Cost
KOTGOL,KOTAK  GOLD ETF,1120,102.21,114475.2
HDFGOL,HDFC GOLD ETF,481,117.57,56551.17
DABIND,DABUR INDIA LTD,72,497.57,35825.04
SBISIL,SBI SILVER ETF,110,246.68,27134.8
ITC,ITC LIMITED,70,368.7,25809
NIPSIL,NIPPON INDIA SILVER ETF,110,217.15,23886.5
TATCAP,TATA CAPITAL LIMITED,46,326,14996
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,5,2059.1,10295.5
HERHON,HERO MOTOCORP LIMITED,2,4247.47,8494.94
SBICAR,SBI CARDS AND PAYMENT SERV LTD,12,700.44,8405.28
INDGAS,INDRAPRASHTHA GAS LTD,46,177.54,8166.84
AARIND,AARTI INDUSTRIES LTD,20,403.71,8074.2
DHASUG,DHAMPUR SUGAR MILLS LTD,52,154.12,8014.24
ADAGAS,ADANI TOTAL GAS LIMITED,9,673.08,6057.72
INDBA,INDUSIND BANK LIMITED,5,1062.44,5312.2
CREGRA,CREDITACCESS GRAMEEN LIMITED,5,1018.93,5094.65
ASIPAI,ASIAN PAINTS INDIA LTD,2,2476.87,4953.74
RAJEXP,RAJESH EXPORTS LIMITED,16,291.18,4658.88
CAMACT,CAMPUS ACTIVEWEAR LIMITED,15,299.44,4491.6
BHAPET,BHARAT PETROLEUM CORPN LTD,17,262.3,4459.1
IRMENE,IRM ENERGY LIMITED,9,481.61,4334.49
WIPRO,WIPRO LTD,18,233.35,4200.3
ADAENT,ADANI ENTERPRISES LIMITED,2,1959.34,3918.68
KOTMAH,KOTAK MAHINDRA BANK LTD,2,1781.42,3562.84
INDPES,INDIA PESTICIDES LIMITED,18,187.68,3378.24
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,4,840.12,3360.48
FLAWRI,FLAIR WRITING INDUSTRIE LTD,13,241.71,3142.23
CIPLA,CIPLA LIMITED,2,1510.19,3020.38
GOPSNA,GOPAL SNACKS LTD,10,276,2760
MOTGTF,MOTILAL OSWAL GOLD ETF,20,135.79,2715.8
ZEROSE,ZERODHA SILVER ETF,100,25.07,2507
MOTSIL,MOTILAL OSWAL SILVER ETF,10,245.57,2455.7
VAIGLO,VAIBHAV GLOBAL LIMITED,10,243.33,2433.3
HDFSIL,HDFC SILVER ETF,10,238.75,2387.5
ONGC,OIL AND NATURAL GAS CORPORATIO,10,235.18,2351.8
JIOFIN,JIO FINANCIAL SERVICES LIMITED,10,219.31,2193.1
AKMFIN,AKME FINTRADE INDIA LIMITED,179,10.69,1913.51
INFTEC,INFOSYS LTD,1,1758.43,1758.43
PLAWIR,PLAZA WIRES LIMITED,30,56.89,1706.7
RELIND,RELIANCE INDUSTRIES,1,1584.16,1584.16
ICINIF,ICICI PRUDENTIAL NIFTY 50 ETF,5,293.83,1469.15
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,5,268.57,1342.85
AETIND,AETHER INDUSTRIES LIMITED,2,642,1284
INDREN,INDIAN RENEW. ENG.DEV. AGY LTD,40,32,1280
ICIGOL,ICICI PRUDENTIAL GOLD ETF,10,117.68,1176.8
SBIGOL,SBI-ETF GOLD,10,117.08,1170.8
DELCOR,DELTA CORP LIMITED,11,105.84,1164.24
POPVEH,POPULAR VEHICLES AND SERV LTD,8,140.58,1124.64
HINCOP,HINDUSTAN COPPER LIMITED,2,519.42,1038.84
NTPC,NTPC LIMITED,3,325,975
BANBAN,BANDHAN BANK LIMITED,5,189.75,948.75
BIOCON,BIOCON LIMITED,3,315.34,946.02
ANUPHA,ANUH PHARMA LTD,10,81.23,812.3
RKSWA,R K SWAMY LIMITED,3,242.27,726.81
TRILTD,TRIDENT LTD,25,27.26,681.5
HDFSTA,HDFC LIFE INSURANCE COM LTD,1,595.45,595.45
POWINF,POWERGRID INFRA. INVEST. TRUST,7,81.76,572.32
BODCHE,BODAL CHEMICALS LTD,10,54.15,541.5
APOTYR,APOLLO TYRES LTD,1,508.77,508.77
IDFBAN,IDFC FIRST BANK LIMITED,9,53.69,483.21
BANBEE,NIPPON INDIA ETF NIF BANK BEES,1,439.76,439.76
ADAPOW,ADANI POWER LIMITED,10,31.68,316.8
EMBOFF,EMBASSY OFFICE PARKS REIT,1,309.77,309.77
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,10,29.73,297.3
TUTALK,TUTICORIN ALKALI CHEMICALS & F,5,53.71,268.55
SRERAY,TGV SRAAC LIMITED,3,82.22,246.66
CITUNI,CITY UNION BANK LTD,2,123.1,246.2
MOTSU,MOTHERSON SUMI WIRING IND LTD,5,47.09,235.45
TATSTE,TATA STEEL LIMITED,1,173.3,173.3
MADCOP,MADHAV COPPER LIMITED,2,65.13,130.26
NBCC,NBCC (INDIA) LIMITED,1,126.2,126.2
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,5,23.57,117.85
PCJEW,PC JEWELLER LIMITED,8,11.23,89.84
PARPHA,PARMAX PHARMA LIMITED,2,29.31,58.62
