Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
MOTSU,MOTHERSON SUMI WIRING IND LTD,INE0FS801015,5,47.09,47.84,- 1.69,235.45,239.20,4.02,3.75,1.59,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,4247.47,5773.00,- 1.32,8494.94,11546.00,0.00,3051.06,35.92,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,6,368.32,354.15,- 1.47,2209.92,2124.90,0.00,-85.02,(3.85),
AKMFIN,AKME FINTRADE INDIA LIMITED,INE916Y01027,179,10.69,5.93,- 3.73,1913.51,1061.47,(4.44),-852.04,(44.53),
TATCAP,TATA CAPITAL LIMITED,INE976I01016,45,326.00,360.00,+ 1.55,14670.00,16200.00,27.42,1530.00,10.43,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,5,189.75,144.03,- 0.66,948.75,720.15,(3.73),-228.60,(24.09),
CITUNI,CITY UNION BANK LTD,INE491A01021,2,123.10,281.10,+ 0.57,246.20,562.20,369.06,316.00,128.35,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,9,53.69,86.00,- 0.08,483.21,774.00,72.14,290.79,60.18,
INDBA,INDUSIND BANK LIMITED,INE095A01012,5,1062.44,882.25,- 0.14,5312.20,4411.25,0.00,-900.95,(16.96),
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,2,1781.42,2126.80,- 0.29,3562.84,4253.60,0.00,690.76,19.39,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,20,403.71,361.65,- 1.90,8074.20,7233.00,476.16,-841.20,(10.42),
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,2,642.00,979.85,- 0.54,1284.00,1959.70,3322.19,675.70,52.62,
BODCHE,BODAL CHEMICALS LTD,INE338D01028,10,54.15,49.67,- 1.31,541.50,496.70,12.22,-44.80,(8.27),
INDPES,INDIA PESTICIDES LIMITED,INE0D6701023,18,187.68,168.35,- 1.88,3378.24,3030.30,0.00,-347.94,(10.30),
SRERAY,TGV SRAAC LIMITED,INE284B01028,3,82.22,101.45,- 2.45,246.66,304.35,122.39,57.69,23.39,
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,5,53.71,45.98,- 4.37,268.55,229.90,14.86,-38.65,(14.39),
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,1,309.77,436.52,+ 0.22,309.77,436.52,139.53,126.75,40.92,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,1,126.20,109.20,- 2.58,126.20,109.20,0.00,-17.00,(13.47),
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,3813.33,3801.30,+ 0.30,7626.66,7602.60,0.00,-24.06,(0.32),
CAMACT,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,15,299.44,254.75,- 1.75,4491.60,3821.25,1921.44,-670.35,(14.92),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,1,439.76,611.83,- 0.77,439.76,611.83,46.16,172.07,39.13,
HDFGOL,HDFC GOLD ETF,INF179KC1981,481,117.57,117.14,+ 1.04,56551.17,56344.34,0.00,-206.83,(0.37),
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,10,238.75,231.26,+ 3.28,2387.50,2312.60,0.00,-74.90,(3.14),
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KC16V9,10,29.73,29.22,- 0.78,297.30,292.20,0.00,-5.10,(1.72),
ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,10,117.68,117.57,+ 1.14,1176.80,1175.70,0.00,-1.10,(0.09),
