Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,20,403.71,361.65,- 1.90,8074.20,7233.00,476.16,-841.20,(10.42),
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,0,0.00,201.10,- 0.05,0.00,0.00,(1976.61),0.00,0.00,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,2,1959.34,2153.70,- 2.72,3918.68,4307.40,2486.06,388.72,9.92,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,9,673.08,556.55,- 1.35,6057.72,5008.95,0.00,-1048.77,(17.31),
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,0,0.00,1435.90,- 2.00,0.00,0.00,2337.27,0.00,0.00,
ADAPOW,ADANI POWER LIMITED,INE814H01029,10,31.68,141.68,- 0.85,316.80,1416.80,5279.48,1100.00,347.22,
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,4,840.12,960.60,- 3.39,3360.48,3842.40,0.00,481.92,14.34,
ADAWIL,AWL AGRI BUSINESS LIMITED,INE699H01024,0,0.00,222.98,- 2.14,0.00,0.00,10297.43,0.00,0.00,
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,2,642.00,979.85,- 0.54,1284.00,1959.70,3322.19,675.70,52.62,
AGRPHO,AGRO PHOS INDIA LIMITED,INE740V01019,0,0.00,37.92,- 0.47,0.00,0.00,(130.66),0.00,0.00,
AGSTRA,AGS TRANSACT TECHNOLOGIES LTD,INE583L01014,0,0.00,4.00,- 1.23,0.00,0.00,(58.59),0.00,0.00,
AKMFIN,AKME FINTRADE INDIA LIMITED,INE916Y01027,179,10.69,5.93,- 3.73,1913.51,1061.47,(4.44),-852.04,(44.53),
ANUPHA,ANUH PHARMA LTD,INE489G01022,10,81.23,76.64,- 1.19,812.30,766.40,30.61,-45.90,(5.65),
APOTYR,APOLLO TYRES LTD,INE438A01022,1,508.77,504.40,- 2.99,508.77,504.40,0.00,-4.37,(0.86),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,0,0.00,187.76,+ 1.76,0.00,0.00,35.81,0.00,0.00,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,2,2476.87,2825.50,+ 1.40,4953.74,5651.00,0.00,697.26,14.08,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,3813.33,3801.30,+ 0.30,7626.66,7602.60,0.00,-24.06,(0.32),
BANBAN,BANDHAN BANK LIMITED,INE545U01014,5,189.75,144.03,- 0.66,948.75,720.15,(3.73),-228.60,(24.09),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,1,439.76,611.83,- 0.77,439.76,611.83,46.16,172.07,39.13,
BANIND,BANK OF INDIA,INE084A01016,0,0.00,146.02,- 0.62,0.00,0.00,27.25,0.00,0.00,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,17,262.30,354.15,- 0.11,4459.10,6020.55,243.13,1561.45,35.02,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,0,0.00,274.25,+ 0.92,0.00,0.00,19.49,0.00,0.00,
BIOCON,BIOCON LIMITED,INE376G01013,3,315.34,379.60,+ 0.44,946.02,1138.80,150.46,192.78,20.38,
BODCHE,BODAL CHEMICALS LTD,INE338D01028,10,54.15,49.67,- 1.31,541.50,496.70,12.22,-44.80,(8.27),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,0,0.00,5977.50,- 0.93,0.00,0.00,(51.52),0.00,0.00,
CAMACT,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,15,299.44,254.75,- 1.75,4491.60,3821.25,1921.44,-670.35,(14.92),
CASIND,CASTROL INDIA LIMITED,INE172A01027,0,0.00,188.65,- 0.04,0.00,0.00,70.63,0.00,0.00,
CESC,CESC LIMITED,INE486A01021,0,0.00,165.47,- 0.98,0.00,0.00,120.29,0.00,0.00,
CIPLA,CIPLA LIMITED,INE059A01026,2,1510.19,1465.70,+ 0.35,3020.38,2931.40,0.00,-88.98,(2.95),
CITUNI,CITY UNION BANK LTD,INE491A01021,2,123.10,281.10,+ 0.57,246.20,562.20,369.06,316.00,128.35,
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,5,2059.10,2056.00,+ 0.46,10295.50,10280.00,52.11,-15.50,(0.15),
CREGRA,CREDITACCESS GRAMEEN LIMITED,INE741K01010,5,1018.93,1325.00,- 0.88,5094.65,6625.00,0.00,1530.35,30.04,
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,0,0.00,252.35,- 2.06,0.00,0.00,97.49,0.00,0.00,
DABIND,DABUR INDIA LTD,INE016A01026,71,497.43,522.40,+ 0.57,35317.53,37090.40,1398.61,1772.87,5.02,
DCB,DCB BANK LIMITED,INE503A01015,0,0.00,179.84,- 0.73,0.00,0.00,(45.28),0.00,0.00,
DELCOR,DELTA CORP LIMITED,INE124G01033,11,105.84,67.59,- 1.31,1164.24,743.49,24.86,-420.75,(36.14),
DHASUG,DHAMPUR SUGAR MILLS LTD,INE041A01016,52,154.12,117.99,- 2.48,8014.24,6135.48,136.07,-1878.76,(23.44),
DIVLAB,DIVIS LABORATORIES LIMITED,INE361B01024,0,0.00,6616.50,+ 0.24,0.00,0.00,261.68,0.00,0.00,
DOLINV,DOLAT ALGOTECH LIMITED,INE966A01022,0,0.00,87.86,- 3.97,0.00,0.00,98.83,0.00,0.00,
ELIELE,ELIN ELECTRONICS LIMITED,INE050401020,0,0.00,149.79,- 3.49,0.00,0.00,87.35,0.00,0.00,
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,1,309.77,436.52,+ 0.22,309.77,436.52,139.53,126.75,40.92,
ESSSH,ESSAR SHIPPING LIMITED,INE122M01019,0,0.00,25.19, 0.00,0.00,0.00,(456.21),0.00,0.00,
FININD,FINOLEX INDUSTRIES LTD,INE183A01024,0,0.00,173.99,- 1.76,0.00,0.00,45.48,0.00,0.00,
FLAWRI,FLAIR WRITING INDUSTRIE LTD,INE00Y201027,13,241.71,317.50,- 0.24,3142.23,4127.50,37.14,985.27,31.36,
FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,0,0.00,254.00,- 1.03,0.00,0.00,33.26,0.00,0.00,
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,0,0.00,0.41, 0.00,0.00,0.00,(3.95),0.00,0.00,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,0,0.00,164.36,+ 0.51,0.00,0.00,21.61,0.00,0.00,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,0,0.00,113.61,+ 1.18,0.00,0.00,23.96,0.00,0.00,
GOPSNA,GOPAL SNACKS LTD,INE0L9R01028,10,276.00,321.40,- 2.06,2760.00,3214.00,162.77,454.00,16.45,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,0,0.00,311.15,- 1.25,0.00,0.00,139.28,0.00,0.00,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,0,0.00,424.85,- 0.74,0.00,0.00,332.87,0.00,0.00,
HDFBAN,HDFC BANK LIMITED,INE040A01034,0,0.00,939.00,- 0.81,0.00,0.00,(58.22),0.00,0.00,
HDFGOL,HDFC GOLD ETF,INF179KC1981,481,117.57,117.14,+ 1.04,56551.17,56344.34,0.00,-206.83,(0.37),
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,10,238.75,231.26,+ 3.28,2387.50,2312.60,0.00,-74.90,(3.14),
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,1,595.45,749.90,- 1.09,595.45,749.90,142.94,154.45,25.94,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,4247.47,5773.00,- 1.32,8494.94,11546.00,0.00,3051.06,35.92,
HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,2,519.42,520.80,+ 0.01,1038.84,1041.60,0.00,2.76,0.27,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,0,0.00,900.95,- 0.33,0.00,0.00,892.21,0.00,0.00,
HINOIL,HINDUSTAN OIL EXPLORATION CO,INE345A01011,0,0.00,150.68,- 1.17,0.00,0.00,46.45,0.00,0.00,
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,0,0.00,448.75,- 0.76,0.00,0.00,275.81,0.00,0.00,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,0,0.00,214.91,- 1.20,0.00,0.00,69.80,0.00,0.00,
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KC16V9,10,29.73,29.22,- 0.78,297.30,292.20,0.00,-5.10,(1.72),
