Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,21,401.58,352.80,+ 1.83,8433.18,7408.80,476.16,-1024.38,(12.15),
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,0,0.00,201.01,+ 0.00,0.00,0.00,(1976.61),0.00,0.00,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,2,1959.34,1864.20,- 10.65,3918.68,3728.40,2486.06,-190.28,(4.86),
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,9,673.08,517.45,- 5.57,6057.72,4657.05,0.00,-1400.67,(23.12),
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,0,0.00,1308.40,- 7.48,0.00,0.00,2337.27,0.00,0.00,
ADAPOW,ADANI POWER LIMITED,INE814H01029,10,31.68,132.96,- 5.65,316.80,1329.60,5279.48,1012.80,319.70,
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,4,840.12,812.70,- 12.12,3360.48,3250.80,0.00,-109.68,(3.26),
ADAWIL,AWL AGRI BUSINESS LIMITED,INE699H01024,0,0.00,209.06,- 0.46,0.00,0.00,10297.43,0.00,0.00,
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,2,642.00,968.35,- 1.12,1284.00,1936.70,3322.19,652.70,50.83,
AGRPHO,AGRO PHOS INDIA LIMITED,INE740V01019,0,0.00,36.31,- 2.55,0.00,0.00,(130.66),0.00,0.00,
AGSTRA,AGS TRANSACT TECHNOLOGIES LTD,INE583L01014,0,0.00,3.77,- 0.79,0.00,0.00,(58.59),0.00,0.00,
AKMFIN,AKME FINTRADE INDIA LIMITED,INE916Y01027,179,10.69,4.96,- 2.94,1913.51,887.84,(4.44),-1025.67,(53.60),
ANUPHA,ANUH PHARMA LTD,INE489G01022,11,80.41,72.77,- 1.09,884.51,800.47,30.61,-84.04,(9.50),
APOTYR,APOLLO TYRES LTD,INE438A01022,1,508.77,499.20,- 0.92,508.77,499.20,0.00,-9.57,(1.88),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,0,0.00,192.98,+ 1.42,0.00,0.00,35.81,0.00,0.00,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,2,2476.87,2703.70,- 0.00,4953.74,5407.40,0.00,453.66,9.16,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,3813.33,3665.60,- 1.57,7626.66,7331.20,0.00,-295.46,(3.87),
BANBAN,BANDHAN BANK LIMITED,INE545U01014,5,189.75,149.33,+ 4.82,948.75,746.65,(3.73),-202.10,(21.30),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,1,439.76,603.35,- 1.25,439.76,603.35,46.16,163.59,37.20,
BANIND,BANK OF INDIA,INE084A01016,0,0.00,159.65,- 4.07,0.00,0.00,27.25,0.00,0.00,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,18,267.67,349.15,- 1.41,4818.06,6284.70,243.13,1466.64,30.44,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,0,0.00,242.50,- 3.60,0.00,0.00,19.49,0.00,0.00,
BIOCON,BIOCON LIMITED,INE376G01013,3,315.34,366.20,- 1.82,946.02,1098.60,150.46,152.58,16.13,
BODCHE,BODAL CHEMICALS LTD,INE338D01028,10,54.15,47.06,- 1.07,541.50,470.60,12.22,-70.90,(13.09),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,0,0.00,5835.00,- 1.64,0.00,0.00,(51.52),0.00,0.00,
CAMACT,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,15,299.44,250.40,- 1.73,4491.60,3756.00,1921.44,-735.60,(16.38),
CASIND,CASTROL INDIA LIMITED,INE172A01027,0,0.00,183.68,- 1.27,0.00,0.00,70.63,0.00,0.00,
CESC,CESC LIMITED,INE486A01021,0,0.00,140.43,- 2.11,0.00,0.00,120.29,0.00,0.00,
CIPLA,CIPLA LIMITED,INE059A01026,5,1434.16,1315.00,- 4.04,7170.80,6575.00,0.00,-595.80,(8.31),
CITUNI,CITY UNION BANK LTD,INE491A01021,2,123.10,275.45,- 2.74,246.20,550.90,369.06,304.70,123.76,
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,5,2059.10,2166.30,- 0.61,10295.50,10831.50,52.11,536.00,5.21,
CREGRA,CREDITACCESS GRAMEEN LIMITED,INE741K01010,4,951.57,1392.70,- 3.94,3806.28,5570.80,131.07,1764.52,46.36,
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,0,0.00,225.30,- 1.89,0.00,0.00,97.49,0.00,0.00,
DABIND,DABUR INDIA LTD,INE016A01026,70,497.28,519.00,- 1.21,34809.60,36330.00,1411.83,1520.40,4.37,
DCB,DCB BANK LIMITED,INE503A01015,0,0.00,182.90,- 3.12,0.00,0.00,(45.28),0.00,0.00,
DELCOR,DELTA CORP LIMITED,INE124G01033,15,95.77,64.07,- 3.33,1436.55,961.05,24.86,-475.50,(33.10),
DHASUG,DHAMPUR SUGAR MILLS LTD,INE041A01016,53,153.35,111.97,- 2.02,8127.55,5934.41,136.07,-2193.14,(26.98),
DIVLAB,DIVIS LABORATORIES LIMITED,INE361B01024,0,0.00,6011.50,- 0.98,0.00,0.00,261.68,0.00,0.00,
DOLINV,DOLAT ALGOTECH LIMITED,INE966A01022,0,0.00,80.71,- 2.62,0.00,0.00,98.83,0.00,0.00,
ELIELE,ELIN ELECTRONICS LIMITED,INE050401020,0,0.00,148.48,- 0.27,0.00,0.00,87.35,0.00,0.00,
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,1,309.77,435.60,- 0.16,309.77,435.60,139.53,125.83,40.62,
ESSSH,ESSAR SHIPPING LIMITED,INE122M01019,0,0.00,23.19,- 2.28,0.00,0.00,(456.21),0.00,0.00,
FININD,FINOLEX INDUSTRIES LTD,INE183A01024,0,0.00,173.77,- 0.82,0.00,0.00,45.48,0.00,0.00,
FLAWRI,FLAIR WRITING INDUSTRIE LTD,INE00Y201027,13,241.71,302.30,- 2.42,3142.23,3929.90,37.14,787.67,25.07,
FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,0,0.00,234.70,- 1.98,0.00,0.00,33.26,0.00,0.00,
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,0,0.00,0.38, 0.00,0.00,0.00,(3.95),0.00,0.00,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,0,0.00,160.81,- 1.69,0.00,0.00,21.61,0.00,0.00,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,290,132.40,127.42,+ 2.48,38396.00,36951.80,23.96,-1444.20,(3.76),
GOPSNA,GOPAL SNACKS LTD,INE0L9R01028,10,276.00,296.00,- 2.16,2760.00,2960.00,162.77,200.00,7.25,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,0,0.00,298.20,- 1.26,0.00,0.00,139.28,0.00,0.00,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,0,0.00,404.95,- 0.44,0.00,0.00,332.87,0.00,0.00,
HDFBAN,HDFC BANK LIMITED,INE040A01034,0,0.00,916.10,- 0.28,0.00,0.00,(58.22),0.00,0.00,
HDFGOL,HDFC GOLD ETF,INF179KC1981,802,134.81,131.88,+ 2.26,108117.62,105767.76,2665.39,-2349.86,(2.17),
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,10,238.75,294.07,+ 5.20,2387.50,2940.70,0.00,553.20,23.17,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,1,595.45,712.10,- 1.79,595.45,712.10,142.94,116.65,19.59,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,4247.47,5384.00,- 1.90,8494.94,10768.00,0.00,2273.06,26.76,
HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,2,519.42,535.90,+ 0.72,1038.84,1071.80,0.00,32.96,3.17,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,0,0.00,950.30,+ 0.62,0.00,0.00,892.21,0.00,0.00,
HINOIL,HINDUSTAN OIL EXPLORATION CO,INE345A01011,2,141.86,147.07,- 0.72,283.72,294.14,46.45,10.42,3.67,
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,0,0.00,414.85,- 3.00,0.00,0.00,275.81,0.00,0.00,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,0,0.00,195.96,- 5.38,0.00,0.00,69.80,0.00,0.00,
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KC16V9,10,29.73,28.43,- 1.25,297.30,284.30,0.00,-13.00,(4.37),
ICIBAN,ICICI BANK LIMITED,INE090A01021,0,0.00,1343.40,- 0.16,0.00,0.00,417.93,0.00,0.00,
ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,25,123.08,132.42,+ 2.76,3077.00,3310.50,0.00,233.50,7.59,
ICINIF,ICICI PRUDENTIAL NIFTY 50 ETF,INF109K012R6,5,293.83,282.49,- 0.90,1469.15,1412.45,0.00,-56.70,(3.86),
IDBI,IDBI BANK LIMITED,INE008A01015,0,0.00,97.42,- 2.59,0.00,0.00,7.45,0.00,0.00,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,9,53.69,82.99,- 1.44,483.21,746.91,72.14,263.70,54.57,
INDBA,INDUSIND BANK LIMITED,INE095A01012,5,1062.44,892.45,- 1.11,5312.20,4462.25,0.00,-849.95,(16.00),
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,46,177.54,174.86,- 2.60,8166.84,8043.56,286.46,-123.28,(1.51),
INDLTD,INDEGENE LTD,INE065X01017,0,0.00,474.30,- 0.19,0.00,0.00,117.69,0.00,0.00,
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,0,0.00,156.03,- 1.90,0.00,0.00,397.20,0.00,0.00,
INDPES,INDIA PESTICIDES LIMITED,INE0D6701023,18,187.68,147.99,- 3.85,3378.24,2663.82,0.00,-714.42,(21.15),
INDR,INDIAN RAILWAY FIN CORP LTD,INE053F01010,0,0.00,114.15,- 2.45,0.00,0.00,139.27,0.00,0.00,
