Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
AARIND,AARTI INDUSTRIES LTD,INE769A01020,21,401.58,340.50,+ 0.15,8433.18,7150.50,476.16,-1282.68,(15.21),
ABAHOL,ABANS FINANCIAL SERVICES LTD,INE00ZE01026,0,0.00,201.32,+ 0.11,0.00,0.00,(1976.61),0.00,0.00,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,2,1959.34,2038.00,+ 0.29,3918.68,4076.00,2486.06,157.32,4.01,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,9,673.08,528.25,+ 0.02,6057.72,4754.25,0.00,-1303.47,(21.52),
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,0,0.00,1379.00,+ 0.03,0.00,0.00,2337.27,0.00,0.00,
ADAPOW,ADANI POWER LIMITED,INE814H01029,10,31.68,137.79,+ 0.12,316.80,1377.90,5279.48,1061.10,334.94,
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,4,840.12,901.10,+ 0.20,3360.48,3604.40,0.00,243.92,7.26,
ADAWIL,AWL AGRI BUSINESS LIMITED,INE699H01024,0,0.00,209.48,+ 0.27,0.00,0.00,10297.43,0.00,0.00,
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,2,642.00,967.95,+ 0.53,1284.00,1935.90,3322.19,651.90,50.77,
AGRPHO,AGRO PHOS INDIA LIMITED,INE740V01019,0,0.00,36.58,+ 1.13,0.00,0.00,(130.66),0.00,0.00,
AGSTRA,AGS TRANSACT TECHNOLOGIES LTD,INE583L01014,0,0.00,3.78,+ 0.80,0.00,0.00,(58.59),0.00,0.00,
AKMFIN,AKME FINTRADE INDIA LIMITED,INE916Y01027,179,10.69,5.15,+ 0.78,1913.51,921.85,(4.44),-991.66,(51.82),
ANUPHA,ANUH PHARMA LTD,INE489G01022,11,80.41,71.52,+ 0.42,884.51,786.72,30.61,-97.79,(11.06),
APOTYR,APOLLO TYRES LTD,INE438A01022,1,508.77,501.70,- 0.06,508.77,501.70,0.00,-7.07,(1.39),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,0,0.00,181.02,- 0.12,0.00,0.00,35.81,0.00,0.00,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,2,2476.87,2666.00,+ 0.18,4953.74,5332.00,0.00,378.26,7.64,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,2,3813.33,3651.90,- 0.13,7626.66,7303.80,0.00,-322.86,(4.23),
BANBAN,BANDHAN BANK LIMITED,INE545U01014,5,189.75,138.00,+ 0.01,948.75,690.00,(3.73),-258.75,(27.27),
BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,1,439.76,606.16, 0.00,439.76,606.16,46.16,166.40,37.84,
BANIND,BANK OF INDIA,INE084A01016,0,0.00,157.45,- 0.02,0.00,0.00,27.25,0.00,0.00,
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,18,267.67,352.10,+ 0.04,4818.06,6337.80,243.13,1519.74,31.54,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,0,0.00,252.85,+ 0.20,0.00,0.00,19.49,0.00,0.00,
BIOCON,BIOCON LIMITED,INE376G01013,3,315.34,365.00,+ 0.04,946.02,1095.00,150.46,148.98,15.75,
BODCHE,BODAL CHEMICALS LTD,INE338D01028,10,54.15,47.00,+ 0.88,541.50,470.00,12.22,-71.50,(13.20),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,0,0.00,5800.00,- 0.04,0.00,0.00,(51.52),0.00,0.00,
CAMACT,CAMPUS ACTIVEWEAR LIMITED,INE278Y01022,15,299.44,250.90,+ 0.24,4491.60,3763.50,1921.44,-728.10,(16.21),
CASIND,CASTROL INDIA LIMITED,INE172A01027,0,0.00,185.40,- 0.22,0.00,0.00,70.63,0.00,0.00,
CESC,CESC LIMITED,INE486A01021,0,0.00,145.70,+ 0.40,0.00,0.00,120.29,0.00,0.00,
CIPLA,CIPLA LIMITED,INE059A01026,5,1434.16,1370.00,+ 0.03,7170.80,6850.00,0.00,-320.80,(4.47),
CITUNI,CITY UNION BANK LTD,INE491A01021,2,123.10,282.05,+ 0.82,246.20,564.10,369.06,317.90,129.12,
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,5,2059.10,2127.00,+ 0.18,10295.50,10635.00,52.11,339.50,3.30,
CREGRA,CREDITACCESS GRAMEEN LIMITED,INE741K01010,5,1018.93,1365.00,+ 0.72,5094.65,6825.00,0.00,1730.35,33.96,
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,0,0.00,233.00,+ 0.32,0.00,0.00,97.49,0.00,0.00,
DABIND,DABUR INDIA LTD,INE016A01026,71,497.43,517.90,+ 0.33,35317.53,36770.90,1398.61,1453.37,4.12,
DCB,DCB BANK LIMITED,INE503A01015,0,0.00,179.71,+ 0.27,0.00,0.00,(45.28),0.00,0.00,
DELCOR,DELTA CORP LIMITED,INE124G01033,15,95.77,65.90,+ 0.14,1436.55,988.50,24.86,-448.05,(31.19),
DHASUG,DHAMPUR SUGAR MILLS LTD,INE041A01016,52,154.12,110.30,- 0.16,8014.24,5735.60,136.07,-2278.64,(28.43),
DIVLAB,DIVIS LABORATORIES LIMITED,INE361B01024,0,0.00,6002.50,- 0.12,0.00,0.00,261.68,0.00,0.00,
DOLINV,DOLAT ALGOTECH LIMITED,INE966A01022,0,0.00,80.50,- 0.27,0.00,0.00,98.83,0.00,0.00,
ELIELE,ELIN ELECTRONICS LIMITED,INE050401020,0,0.00,147.86,+ 1.71,0.00,0.00,87.35,0.00,0.00,
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,1,309.77,436.76,- 0.07,309.77,436.76,139.53,126.99,40.99,
ESSSH,ESSAR SHIPPING LIMITED,INE122M01019,0,0.00,23.45,- 0.34,0.00,0.00,(456.21),0.00,0.00,
FININD,FINOLEX INDUSTRIES LTD,INE183A01024,0,0.00,174.18, 0.00,0.00,0.00,45.48,0.00,0.00,
FLAWRI,FLAIR WRITING INDUSTRIE LTD,INE00Y201027,13,241.71,312.00,+ 1.56,3142.23,4056.00,37.14,913.77,29.08,
FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,0,0.00,241.60,- 0.02,0.00,0.00,33.26,0.00,0.00,
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,0,0.00,0.38, 0.00,0.00,0.00,(3.95),0.00,0.00,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,0,0.00,162.35,- 0.20,0.00,0.00,21.61,0.00,0.00,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,290,132.40,134.97, 0.00,38396.00,39141.30,23.96,745.30,1.94,
GOPSNA,GOPAL SNACKS LTD,INE0L9R01028,10,276.00,298.40,+ 0.15,2760.00,2984.00,162.77,224.00,8.12,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,0,0.00,304.00,+ 2.22,0.00,0.00,139.28,0.00,0.00,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,0,0.00,400.50,+ 0.30,0.00,0.00,332.87,0.00,0.00,
HDFBAN,HDFC BANK LIMITED,INE040A01034,0,0.00,921.00,+ 0.07,0.00,0.00,(58.22),0.00,0.00,
HDFGOL,HDFC GOLD ETF,INF179KC1981,551,118.57,139.57, 0.00,65332.07,76903.07,0.00,11571.00,17.71,
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,10,238.75,311.68, 0.00,2387.50,3116.80,0.00,729.30,30.55,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,1,595.45,723.00,- 0.19,595.45,723.00,142.94,127.55,21.42,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,2,4247.47,5531.00,- 0.14,8494.94,11062.00,0.00,2567.06,30.22,
HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,2,519.42,558.00,+ 0.13,1038.84,1116.00,0.00,77.16,7.43,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,0,0.00,940.00,+ 0.09,0.00,0.00,892.21,0.00,0.00,
HINOIL,HINDUSTAN OIL EXPLORATION CO,INE345A01011,2,141.86,140.10,- 0.77,283.72,280.20,46.45,-3.52,(1.24),
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,0,0.00,430.40,+ 0.31,0.00,0.00,275.81,0.00,0.00,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,0,0.00,203.90,+ 0.37,0.00,0.00,69.80,0.00,0.00,
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KC16V9,10,29.73,28.52, 0.00,297.30,285.20,0.00,-12.10,(4.07),
ICIBAN,ICICI BANK LIMITED,INE090A01021,0,0.00,1346.90,- 0.16,0.00,0.00,417.93,0.00,0.00,
ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,25,123.08,137.27, 0.00,3077.00,3431.75,0.00,354.75,11.53,
